QR;ToolNummer;ToolName;D;Ausspann_Laenge;IST_Laenge;SOLL_Laenge;Message1;Message2;Message3;Message4;Message5;Maschine
;797;D20_BOHRER_WSP_VHM;20;205;285;;;;;;HSK 63;C400
;798;D25_BOHRER_HSS;25;155;235;;;;;;HSK 63;DMU
;799;D25_WP_BOHRER;25;211;211;;QR0250100JFR00;307005 25;;;HSK 63;C32
;800;D35_WP_BOHRER;35;259;259;;QR0350140JGR00;307005 32;;;HSK 63;C42
;802;D10.2_BOHRER_VHM_BLAU;10.2;75;195;;122659 10.2;308192 12;;;HSK 63;C400
;810;D12_BOHRER_VHM_8XD_ALU;12;119;209;;122808 12;308172 12;;;HSK 63;DMU
;835;D13.5_BOHRER_VHM_BLAU;13.5;81;201;;122659 13.5;308192 14;;;HSK 63;C32
;1150;PILOT_D5_VHM_ALU;5;42;122;;122606 5;308172 6;;;HSK 63;C42
;1160;PILOT_D6_VHM_ALU;6;40;160;;122606 6;308192 6;;;HSK 63;C400
;1180;PILOT_D8_VHM_ALU;8;57;177;;122606 8;308192 8;;;HSK 63;DMU
;1200;PILOT_D10_VHM_ALU;10;66;151;;122606 10;308187 10;;;HSK 63;C32
;1214;D12_ALU_DLC_NEU;12;40;160;;202272 12;308192 12;;;HSK 63;C42
;1215;D16_ALU_DLC_NEU;16;47;177;;202272 16;308196 16;;;HSK 63;C400
;1222;D2.2_TIEFLOCH_20XD;2.2;55;135;;123690 2.2;308172 4;;;HSK 63;DMU
;1290;ADENSO_D3X2.9;3;58;90;;9000200;308172 6;;;HSK 63;C32
;1291;ADENSO_D3.8X4;3.8;60;90;;9001120 ;308172 6;;;HSK 63;C42
;1292;ADENSO_D4.3X4;4.3;55;90;;9001120 ;308172 6;;;HSK 63;C400
;1293;ADENSO_D4.5X4;4.5;59;89;;9000200;308172 6;;;HSK 63;DMU
;1294;ADENSO_D4.5X4.3;4.5;65;95;;9000200;308172 6;;;HSK 63;C32
;1300;D3_TIEFLOCH_20XD;3;80;160;;123690 3;308172 6;;;HSK 63;C42
;1400;D20_CHIP_SURFER_ALU;20;38.8;225;;46D20012TSRD05;308165 20;S020T12HA120;;HSK 63;C400
;1450;D5_TIEFLOCH_ALU_25XD;5;140;220;;123593 5;308172 6;;;HSK 63;DMU
;1460;D6_TIEFLOCH_ALU_25XD;6;168;248;;123593 6;308172 6;;;HSK63;C32
;1480;D8_TIEFLOCH_ALU_20XD;8;186;266;;123590 8;308172 8;;;HSK 63;C42
;1481;D8_TIEFLOCH_ALU_25XD;8;225;305;;123593 8;308187 8;;;HSK 63;C400
;1500;D10_TIEFLOCH_ALU_25XD;10;273;358;;123593 10;308187 10;;;HSK 63;DMU
;1501;D10_TIEFLOCH_ALU_30XD;10;335;420;;123595 10;308187 10;;;HSK 63;C32
;1502;D10.2_TIEFLOCH_ALU_30XD;10.2;350;435;;123593 10;308187 10;;;HSK 63;C42
;3;MK_D40_HOCHVORSCHUB;41.9999;41;125;;5G5D042R00;HSKA63SM22SK084;;;HSK 63;C32
